Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
00:00 Primeval,00:03 Frostscale Basin,00:00 Skypetal Plains,00:08 Skypetal Plains,00:00 Skypetal Plains,00:53  Frostscale Basin,01:15 Primeval
01:23 Primeval,01:16 Primeval,01:36 Primeval,01:25 Primeval,01:44 Primeval,02:30 Primeval,02:31 Primeval
02:50 Skypetal Plains,02:39 Frostscale Basin,03:05 Skypetal Plains,03:08  Skypetal Plains,03:06 Primeval,04:00 Primeval,04:10 Primeval
unknown,04:18 Skypetal Plains,04:30 Skypetal Plains,04:26 Skypetal Plains,04:38  Frostscale Basin,05:28 Skypetal Plains,05:34  Frostscale Basin
05:12 Frostscale Basin,missing,missing,05:53 Skypetal Plains,06:10 Primeval,missing,07:06 Skypetal plains
07:52 Skypetal Plains,missing,missing,07:17 Skypetal Plains,07:52  Frostscale Basin,missing,10:24 ??
09:15 Primeval,08:42 Frostscale Basin,missing,08:52 Skypetal Plains,09:23 Skypetal Plains,09:56 Skypetal Plains,11:55 Frostscale Basin
missing,11:40 Frostscale Basin,missing,10:06 Primeval,10:42 Skypetal Plains,11:36 Frostscale Basin,13:18 Primeval
12:09 Primeval,13:15 Skypetal Plains,13:30 Frostscale Basin,11:45: Frostscale Basin,12:09 Skypetal Plains,12:54 Skypetal Plains,14:37 Primeval
13:43 Frostscale Basin,14:41 Skypetal Plains,14:57  Frostscale Basin,13:14 Primeval,13:36  Frostscale Basin,14:25 Primeval,16:00 Frostscale Basin
15:26 Frostscale Basin,15:57 Primeval,16:40 Skypetal Plains,14:57 Primeval,14:57 Skypetal Plains,16:01 Primeval,17:44 Primeval
17:10 Primeval,17:34 Skypetal Plains,18:03  Frostscale Basin,16:22 Primeval,16:23 Skypetal Plains,17:30 Skypetal,19:10 Skypetal Plains
18:39 Primeval,19:05 Skypetal Plains,19:42 Skypetal Plains,17:53 Primeval,17:57  Frostscale Basin,19:01 Skypetal Plains,20:44  Frostscale Basin
20:08 Skypetal Plains,20:31 Frostscale Basin,21:22  Frostscale Basin,19:19  Frostscale Basin,19:25  Frostscale Basin,20:46 Primeval,22:22 Skypetal Plains
21:49 Skypetal Plains,21:49 Frostscale Basin,22:37 Primeval,20:40  Frostscale Basin,20:59 Primeval,22:27 Frostscale Basin,missing
23:08: Primeval,23:05 Frostscale Basin,missing,21:56 Primeval,22:19  Frostscale Basin,23:57 Skypetal Plains,missing
missing,missing,missing,23:25 Primeval,23:51 Primeval,missing,missing
